original_path,moved_date,reason,file_size_bytes,importance
# === SOURCE FILES TO MOVE ===
src/monitoring/metrics_analysis.py,2025-12-07,Over-engineered monitoring,32768,Low
src/monitoring/metrics_visualization.py,2025-12-07,Over-engineered monitoring,28672,Low
src/monitoring/retry_tracker.py,2025-12-07,Over-engineered monitoring,24576,Low
src/cli/enhanced_modular_cli.py,2025-12-07,Duplicate CLI variant,28672,Low
src/cli/ui_enhancements.py,2025-12-07,Duplicate UI variant,24576,Low
src/cli/dirty_commands.py,2025-12-07,Legacy commands,20480,Low
src/local/vector_store.py,2025-12-07,Alternative implementation,16384,Low
src/local/local_manager.py,2025-12-07,Alternative implementation,12288,Low
src/processing/llm_prompts/xml_optimized_templates.py,2025-12-07,Over-engineered templates,32768,Low
src/processing/llm_prompts/template_manager.py,2025-12-07,Duplicate template system,20480,Low
src/processing/support_systems/persistence_layer.py,2025-12-07,Complex support system,16384,Low
src/processing/support_systems/data_collection.py,2025-12-07,Complex support system,12288,Low
src/data/adaptive_connection_pool.py,2025-12-07,Experimental feature,12288,Low
src/data/enhanced_sqlite_manager.py,2025-12-07,Duplicate implementation,20480,Low
src/data/optimized_sqlite_manager.py,2025-12-07,Duplicate implementation,16384,Low
src/agent/data_flow.py,2025-12-07,Experimental agent module,8192,Low
src/agent/support_systems.py,2025-12-07,Experimental agent module,8192,Low
src/benchmarking/benchmark_framework.py,2025-12-07,Extra benchmark framework,12288,Low
src/processing/enhanced_context_builder.py,2025-12-07,Duplicate context builder,10240,Low
# === TEST FILES TO MOVE ===
tests/test_comprehensive_metrics.py,2025-12-07,Duplicate test coverage,8192,Low
tests/test_core_models_comprehensive.py,2025-12-07,Duplicate test coverage,8192,Low
tests/test_data_layer_comprehensive.py,2025-12-07,Duplicate test coverage,8192,Low
tests/test_data_repositories_comprehensive.py,2025-12-07,Duplicate test coverage,8192,Low
tests/test_enhanced_conjecture_comprehensive.py,2025-12-07,Duplicate test coverage,8192,Low
tests/test_llm_providers_comprehensive.py,2025-12-07,Duplicate test coverage,8192,Low
tests/test_processing_comprehensive.py,2025-12-07,Duplicate test coverage,8192,Low
tests/test_processing_layer_comprehensive.py,2025-12-07,Duplicate test coverage,8192,Low
tests/test_tool_registry_comprehensive.py,2025-12-07,Duplicate test coverage,8192,Low
tests/test_unified_config_comprehensive.py,2025-12-07,Duplicate test coverage,8192,Low
